x	y	Sought Treatment	labels
6.2833915	7.3696904	1	0
10.7111	6.306627	0	6
-9.451717	11.759195	1	7
-12.45191	-19.880362	1	1
-9.367887	-25.721375	0	1
-10.625386	-6.389958	1	4
6.5175757	17.927332	1	2
-18.457918	-3.8843005	1	4
9.450979	26.72136	0	2
-0.15508744	24.518272	1	5
3.9104695	7.4511566	1	0
-8.465687	-23.742073	0	1
-7.0011115	-7.3812046	1	4
3.8677511	8.580355	1	0
4.8812284	-7.153458	1	3
-11.995171	-21.665382	0	1
3.132025	-1.2420337	0	0
-1.4775722	21.801723	1	5
-0.17186816	-13.669021	1	3
5.9119325	2.5746207	0	0
12.864435	15.619894	0	2
-1.742247	26.219864	1	5
2.915476	-13.101143	0	3
2.0626411	11.803663	1	5
-2.265891	17.308895	1	5
-2.5834947	21.136225	0	5
15.293031	19.738548	0	2
-16.440945	2.450022	1	7
5.287111	0.7579068	1	0
-13.541161	-30.239687	1	1
10.288334	21.081608	1	2
-6.332732	14.385156	1	5
-10.208068	10.429279	1	7
-14.301842	-29.172676	0	1
9.721565	-3.381158	0	6
7.3982697	-0.99766356	1	0
-16.329771	-25.24607	0	1
-11.426609	-21.733076	0	1
21.558943	13.280797	0	2
10.985978	-8.63789	0	3
-9.323572	-26.979095	0	1
10.9416	10.269987	1	2
15.798136	9.300703	0	6
-1.0410875	0.63455206	1	0
6.342517	21.627342	1	2
3.6826396	-8.383369	0	3
-1.5560615	4.711677	0	0
19.80436	14.543709	1	2
-4.165898	-20.937906	0	1
-13.547622	-2.1458888	0	4
9.12096	-19.372076	0	3
-14.044545	-23.066082	0	1
-11.842196	1.4855893	1	7
15.369305	-7.700934	1	6
3.917308	-4.7041025	0	0
-6.434991	19.77452	0	5
15.3530245	18.194338	0	2
-18.214611	3.2191777	1	7
-13.500192	-5.2219205	1	4
-13.612942	-21.791325	0	1
-19.273685	8.502973	1	7
14.781507	0.8435905	0	6
2.184362	8.533883	1	0
-8.801795	-10.848646	1	4
12.713413	13.855196	0	2
21.431135	18.350582	1	2
13.167117	13.093412	1	2
2.138958	15.804134	1	5
1.9231164	-5.4533696	1	0
-5.226765	-16.944317	1	1
-0.4780452	-11.894479	0	3
4.36575	-7.031349	0	3
8.58046	1.0194545	0	0
2.1282094	4.5237403	1	0
-5.831335	-10.006577	1	4
-2.6673806	-11.098726	0	3
5.4781265	-3.8600407	1	0
5.5974135	-7.885302	0	3
-6.4036975	21.149712	0	5
-12.083944	-7.350075	1	4
15.701819	16.99852	1	2
7.914671	-21.428347	1	3
-9.563021	16.503633	1	5
11.627143	2.6847577	1	6
14.183908	-11.163698	0	3
-13.460077	2.322394	0	7
18.758303	4.992706	0	6
6.627744	21.833885	0	2
-9.656082	16.385824	1	5
14.534186	-8.014932	0	6
-6.788511	-0.5190796	0	4
15.775231	-13.341355	1	3
-5.0150137	-2.9323885	1	4
10.436409	-11.81307	0	3
19.445513	14.923299	1	2
-3.5250185	14.535144	1	5
13.565053	0.18851942	0	6
21.35331	-0.7262664	0	6
-19.440256	-12.421664	0	4
17.345425	17.43369	0	2
-1.976327	13.938551	0	5
-8.646035	-24.997313	0	1
8.044951	-21.122864	1	3
16.664455	4.088488	1	6
-11.945898	-7.156226	1	4
-11.682892	-17.956379	1	1
-14.626444	-25.772976	0	1
12.1200075	-1.8012362	0	6
15.355492	-4.799629	0	6
5.2138534	-16.114231	0	3
-4.631414	3.2964854	0	0
15.262015	-4.4921813	0	6
-15.33811	-23.343803	0	1
-13.593348	5.6225796	1	7
-20.154173	-2.9694095	0	4
-10.7107	-23.295177	0	1
1.7567053	2.1524541	0	0
-16.914328	-26.738447	0	1
-10.206668	-0.018686526	0	4
8.583011	-7.160665	0	3
3.4400961	-10.610752	0	3
-0.28282478	2.1510308	1	0
-2.9626288	-5.47488	1	0
